Emotion to Genre Mapping,,,
track_name,artists,album,mood
Tum Jo Milo,"Pritam, Abhijeet Srivastava","Tum Jo Milo (From ""Freddy"")",calm
Aas Paas Khuda (Unplugged),"Rahat Fateh Ali Khan, Shruti Pathak",Anjaana Anjaani,calm
Ye Shaamein,"Vikaas Vishwakarma, Ram Chauhan, Pragati Shahi",Ye Shaamein,calm
Fallin' All In You,Shawn Mendes,Shawn Mendes,calm
Co2 - Acoustic,Prateek Kuhad,Co2 (Acoustic),calm
Cosine Similarity,,,
track_name,artists,album,mood
Don't Be Cruel,Elvis Presley,Elvis 30 #1 Hits,happy
(You're The) Devil in Disguise,Elvis Presley,Elvis 30 #1 Hits,happy
A Little Less Conversation - JXL Radio Edit Remix,"Elvis Presley, JXL",Elvis 75 - Good Rockin' Tonight,happy
You,Armaan Malik,You,calm
Off,Jake Scott,Off,calm
Collaborative Filtering,,,
track_name,artists,album,mood
Don't Be Cruel,Elvis Presley,Elvis 30 #1 Hits,happy
(You're The) Devil in Disguise,Elvis Presley,Elvis 30 #1 Hits,happy
A Little Less Conversation - JXL Radio Edit Remix,"Elvis Presley, JXL",Elvis 75 - Good Rockin' Tonight,happy
You,Armaan Malik,You,calm
Off,Jake Scott,Off,calm
Graph based,,,
track_name,artists,album,mood
Suspicious Minds,Elvis Presley,Back In Memphis,calm
(You're The) Devil in Disguise,Elvis Presley,Elvis 30 #1 Hits,happy
Don't Be Cruel,Elvis Presley,Elvis 30 #1 Hits,happy
Superstition - Single Version,Stevie Wonder,Number Ones,happy
For Once In My Life,Stevie Wonder,For Once In My Life,calm
