name,album,date,artist,popularity,mood
Illahi,YJHD,2013,,,energetic
Ghagra,YJHD,2013,,,energetic
Balam Pichkari,YJHD,2013,,,energetic
Kabira,YJHD,2013,,,sad
Subhanallah,YJHD,2013,,,happy
Dilliwaali Girlfriend,YJHD,2013,,,energetic
Badtameez Dil,YJHD,2013,,,energetic
Koi Mil Gya,Kuch Kuch Hota Hai,1998,,,happy
Yeh Ladka Hai Deewana,Kuch Kuch Hota Hai,1998,,,happy
Kuch Kuch Hota Hai,Kuch Kuch Hota Hai,1998,,,happy
Ladki Badi Anjaani Hai,Kuch Kuch Hota Hai,1998,,,happy
Koi Ladki Hai,Dil to Pagal Hai,1997,,,happy
Dil to Pagal Hai,Dil to Pagal Hai,1997,,,happy
Bholi Si Surat,Dil to Pagal Hai,1997,,,happy
Le Gayi,Dil to Pagal Hai,1997,,,energetic
